locus_tag,5GB1_FM40_T0m_TR2,5GB1_FM40_T10m_TR3,5GB1_FM40_T20m_TR2,5GB1_FM40_T40m_TR1,5GB1_FM40_T60m_TR1,5GB1_FM40_T90m_TR2,5GB1_FM40_T150m_TR1_remake,5GB1_FM40_T180m_TR1
MBURv2_30084,8.108859520411249,6.032780868191234,8.213120305337943,6.290890937725004,6.4736285746399,7.621416169653791,7.724731868521134,4.317120232847081
MBURv2_30085,7.930533492260627,6.367060398089051,8.408495998620978,7.102874713497484,5.27201119376435,6.812552820360036,6.931544928472061,6.397242817904593
MBURv2_30086,6.487087616328998,4.813388990578113,4.568888116876736,7.409271548876116,5.309830179199018,4.734516105390991,5.353309623169661,4.593858709311638
MBURv2_30087,18.072268931137373,17.609209153417584,16.21691045059666,18.140168793016496,17.183694407762644,16.18521851801394,12.744959509077008,12.49984921580475
MBURv2_30088,32.195311472418126,33.85018429295621,27.46025472300238,27.973220923522295,28.36283181045872,25.594916334452304,25.297932902749643,23.853771422317454
MBURv2_30089,18.045682188857757,15.951562907804012,15.746694317564726,15.268326604410829,13.493438749186197,14.02619962168808,14.16055722481862,13.20106232129494
MBURv2_30090,24.122481135522037,27.116368448686227,17.518470429232465,24.207595029971216,16.373937443208902,22.728818932417283,21.11473899775926,20.25440769877134
MBURv2_30091,31.737429514247555,30.04320162009152,27.61617415992254,28.341393520716146,23.363386251594424,22.20476399886831,26.8691898362507,22.919785287007187
MBURv2_30092,46.42899859633569,42.150713152552555,47.6985505102545,37.42564917674807,44.40516825951122,38.859745151875956,30.312596574559347,30.603967865787137
MBURv2_30093,39.21624129025699,41.98723924837712,37.62763968210556,40.52741206763337,43.04970390810448,46.53161567236913,38.21072881238791,41.38833187287297
MBURv2_30094,86.8745522706466,85.312707725689,80.33647223925868,81.36900885521382,94.85970684511682,81.48904111709336,98.61736157484222,79.08433545818201
MBURv2_30095,80.84227427519575,70.3265601251976,94.80553845631883,59.79770004954523,105.45809631136324,80.84380673836998,100.28159606575097,78.20629344888366
MBURv2_30096,149.53168788393864,149.28022458964006,142.017945884976,144.68941620170284,158.99836059251686,172.92975523405593,215.90201136699616,153.87255343532493
MBURv2_30097,119.55838957370165,98.60727884800848,109.74313055434779,107.15233311864729,132.9085743516453,120.64794572153761,117.54476023815623,107.75089319623972
MBURv2_30098,337.53501493263775,317.6030524275694,360.7749410070246,314.7120729075487,317.44134131263854,325.51110451865003,287.95558799613394,298.8931068266793
MBURv2_30099,740.0999073035639,669.3750240713646,684.0807424106678,615.8848348508101,471.68286986436925,377.90692206090966,637.4756762618088,327.97323964374186
MBURv2_30100,70.08120825416961,61.80563370651959,63.28356829402715,59.671721748879044,53.989010217965166,59.730993365334555,69.94039485549726,55.86163817777403
MBURv2_30101,39.041018937171145,40.03451776885918,39.527176347344806,41.0336277493541,35.51969141269293,40.1400764252963,38.7120016726835,41.67514857142295
MBURv2_30102,46.19035094248617,44.50245532288941,43.97826770119863,39.68969691802837,38.01832346856521,41.47176287316725,49.15026963962788,39.89969230586565
MBURv2_30103,54.88573700335312,46.94447252312365,53.928340063672515,42.82732800947114,48.06774988103808,37.22049646750195,42.99944434876615,39.53887105916181
MBURv2_30104,84.62702695568538,84.50861875070906,81.90544898104015,77.09410431528228,74.90387925495507,82.59100317182063,81.41504341919007,72.94270778864419
MBURv2_30105,87.32994941908326,99.87447157681007,71.41248633439061,86.58693184932707,79.49918029625843,107.78225527836896,82.71828346493417,89.18764112485633
MBURv2_30106,62.226840992205226,59.10689204464777,54.11404618898144,53.66173750977867,55.81629261805966,69.30804828146776,56.496271063088464,60.35791690223418
MBURv2_30107,29.274840872502704,27.226712931386377,32.97688736941769,30.120428879845036,32.07255046159151,33.1735529086607,28.509770767028833,33.64904351701377
MBURv2_30108,40.7682461113458,34.80002490879757,36.94166963139049,37.03157738388078,37.126835045746994,37.69706473341507,30.172202970405923,37.97388306475408
MBURv2_30109,38.216613724714925,40.402413189597894,41.5726366713675,40.791568912942715,32.643835358948756,41.16775821396104,34.920667185423426,37.13209380012037
